Datetime,Total,SM,ROUTE,INDIRETOS,Day_gregoriano,Month_gregoriano,Year,holidays,OUTROS,Week_Month,Week_Year,temperatura,Ajuste_ipca,PMC,Massa.Renda,Renda,Desemprego,Next_holiday
2015-04-04,786818.26,43336.9,323254.94,169786.81,4,4,2015,1,250439.61,1,14,27.29,264.99,89.54,4998964.77,1574.55,9.94,0
2015-04-11,919570.22,40146.76,317893.22,268642.63,11,4,2015,0,292887.61,2,15,27.29,264.99,89.54,4998964.77,1574.55,9.94,2
2015-04-18,949106.41,44714.13,298697.06,300259.63,18,4,2015,0,305435.58999999997,3,16,27.29,264.99,89.54,4998964.77,1574.55,9.94,1
2015-04-25,1273613.15,76036.2,340233.5,438464.1,25,4,2015,1,418879.34999999986,4,17,27.29,264.99,89.54,4998964.77,1574.55,9.94,0
2015-05-02,657291.8,30293.44,279159.66,143480.74,2,5,2015,1,204357.96000000008,1,18,26.68,266.96,93.91,4998964.77,1574.55,9.94,0
2015-05-09,879578.62,50853.2,311838.9,229362.01,9,5,2015,0,287524.5099999999,2,19,26.68,266.96,93.91,4998964.77,1574.55,9.94,4
2015-05-16,913459.58,34362.88,276103.11,316448.63,16,5,2015,0,286544.95999999996,3,20,26.68,266.96,93.91,4998964.77,1574.55,9.94,3
2015-05-23,1098092.95,50853.2,298839.02,397744.87,23,5,2015,0,350655.85999999987,4,21,26.68,266.96,93.91,4998964.77,1574.55,9.94,2
2015-05-30,630452.08,30657.14,223994.19,173043.93,30,5,2015,0,202756.81999999995,5,22,26.68,266.96,93.91,4998964.77,1574.55,9.94,1
2015-06-06,852822.95,37801.67,296428.51,246625.23,6,6,2015,1,271967.5399999999,1,23,25.87,269.06,89.53,4998964.77,1574.55,9.94,0
2015-06-13,989380.42,40541.61,319774.08,315438.56,13,6,2015,0,313626.17000000004,2,24,25.87,269.06,89.53,4998964.77,1574.55,9.94,13
2015-06-20,967679.71,45284.88,262471.53,350601.39,20,6,2015,0,309321.9099999999,3,25,25.87,269.06,89.53,4998964.77,1574.55,9.94,12
2015-06-27,826884.67,44551.45,255257.5,256885.71,27,6,2015,0,270190.01,4,26,25.87,269.06,89.53,4998964.77,1574.55,9.94,11
2015-07-04,701346.36,30802.98,255257.5,192586.49,4,7,2015,0,222699.39,1,27,25.66,270.73,91.94,4981003.29,1559.54,10.48,10
2015-07-11,857652.02,33986.77,269881.89,282924.32,11,7,2015,0,270859.04000000004,2,28,25.66,270.73,91.94,4981003.29,1559.54,10.48,9
2015-07-18,917006.24,37646.81,270295.34,318905.59,18,7,2015,0,290158.5,3,29,25.66,270.73,91.94,4981003.29,1559.54,10.48,8
2015-07-25,1225479.68,75087.18,308108.13,439735.3,25,7,2015,0,402549.06999999995,4,30,25.66,270.73,91.94,4981003.29,1559.54,10.48,7
2015-08-01,449303.53,22626.63,202900.86,85518.16,1,8,2015,0,138257.88,1,31,25.92,271.33,90.14,4981003.29,1559.54,10.48,6
2015-08-08,750127.55,36338.04,263428.72,209138.97,8,8,2015,0,241221.82000000007,2,32,25.92,271.33,90.14,4981003.29,1559.54,10.48,5
2015-08-15,827075.94,36644.76,243811.8,282784.62,15,8,2015,0,263834.76,3,33,25.92,271.33,90.14,4981003.29,1559.54,10.48,4
2015-08-22,1047111.63,43821.54,304533.27,366925.63,22,8,2015,0,331831.19000000006,4,34,25.92,271.33,90.14,4981003.29,1559.54,10.48,3
2015-08-29,780416.84,38034.32,281249.31,210546.94,29,8,2015,0,250586.2699999999,5,35,25.92,271.33,90.14,4981003.29,1559.54,10.48,2
2015-09-05,643742.1,27783.6,231993.93,179612.2,5,9,2015,0,204352.37,1,36,26.86,272.79,86.16,4981003.29,1559.54,10.48,1
2015-09-12,904806.94,42052.28,278325.08,293882.46,12,9,2015,1,290547.1199999999,2,37,26.86,272.79,86.16,4981003.29,1559.54,10.48,0
2015-09-19,988574.18,39438.9,288388.14,349114.69,19,9,2015,0,311632.45000000007,3,38,26.86,272.79,86.16,4981003.29,1559.54,10.48,4
2015-09-26,983338.31,55216.05,274440.06,331712.4,26,9,2015,0,321969.80000000005,4,39,26.86,272.79,86.16,4981003.29,1559.54,10.48,3
2015-10-03,762425.22,40858.3,322674.03,158472.22,3,10,2015,0,240420.66999999993,1,40,27.51,275.03,92.27,4794792.25,1514.58,10.11,2
2015-10-10,723684.75,31241.7,260560.22,202394.08,10,10,2015,0,229488.75,2,41,27.51,275.03,92.27,4794792.25,1514.58,10.11,1
2015-10-17,969081.96,33312.84,322819.23,311264.08,17,10,2015,1,301685.81000000006,3,42,27.51,275.03,92.27,4794792.25,1514.58,10.11,0
2015-10-24,1138208.44,52466.27,361810.35,358511.69,24,10,2015,0,365420.1299999999,4,43,27.51,275.03,92.27,4794792.25,1514.58,10.11,2
2015-10-31,725524.84,29931.02,282086.45,186251.6,31,10,2015,0,227255.7699999999,5,44,27.51,275.03,92.27,4794792.25,1514.58,10.11,1
2015-11-07,1131493.3,44795.53,376307.42,353133.02,7,11,2015,1,357257.3300000001,1,45,28.1,277.81,92.9,4794792.25,1514.58,10.11,0
2015-11-14,1036673.94,40779.06,323545.51,345257.95,14,11,2015,0,327091.4199999999,2,46,28.1,277.81,92.9,4794792.25,1514.58,10.11,1
2015-11-21,1186601.23,50262.64,352089.94,407348.95,21,11,2015,1,376899.69999999995,3,47,28.1,277.81,92.9,4794792.25,1514.58,10.11,0
2015-11-28,1118306.94,48253.32,421095.05,295862.17,28,11,2015,0,353096.3999999999,4,48,28.1,277.81,92.9,4794792.25,1514.58,10.11,4
2015-12-05,1311325.95,59239.98,432440.66,399753.06,5,12,2015,0,419892.25,1,49,28.31,280.48,115.78,4794792.25,1514.58,10.11,3
2015-12-12,1623560.7,78423.94,469105.6,553130.32,12,12,2015,0,522900.8400000001,2,50,28.31,280.48,115.78,4794792.25,1514.58,10.11,2
2015-12-19,1370601.12,83752.24,447225.3,386370.3,19,12,2015,0,453253.28,3,51,28.31,280.48,115.78,4794792.25,1514.58,10.11,1
2015-12-26,1168993.36,74141.66,429280.24,281388.79,26,12,2015,1,384182.67000000016,4,52,28.31,280.48,115.78,4794792.25,1514.58,10.11,0
2016-01-01,676868.42,24174.99,219182.17,222169.83,1,1,2016,1,211341.43000000005,1,1,27.75,284.04,86.89,4691581.8,1521.63,12.47,0
2016-01-09,989783.61,39203.77,331127.08,306962.84,9,1,2016,0,312489.9199999999,2,2,27.75,284.04,86.89,4691581.8,1521.63,12.47,5
2016-01-16,990388.49,44632.77,310976.79,317604.15,16,1,2016,0,317174.78,3,3,27.75,284.04,86.89,4691581.8,1521.63,12.47,4
2016-01-23,935989.53,48003.85,302251.79,281807.32,23,1,2016,0,303926.57000000007,4,4,27.75,284.04,86.89,4691581.8,1521.63,12.47,3
2016-01-30,869662.47,43417.56,322093.43,225038.64,30,1,2016,0,279112.83999999997,5,5,27.75,284.04,86.89,4691581.8,1521.63,12.47,2
2016-02-06,582080.08,23971.33,217757.48,157176.96,6,2,2016,0,183174.30999999994,1,6,27.96,286.59,79.26,4691581.8,1521.63,12.47,1
2016-02-13,913656.51,33089.08,324563.11,270984.84,13,2,2016,2,285019.48,2,7,27.96,286.59,79.26,4691581.8,1521.63,12.47,0
2016-02-20,857652.02,35194.58,274578.53,275964.41,20,2,2016,0,271914.5,3,8,27.96,286.59,79.26,4691581.8,1521.63,12.47,5
2016-02-27,704264.28,27996.23,267542.48,188232.33,27,2,2016,0,220493.2400000001,4,9,27.96,286.59,79.26,4691581.8,1521.63,12.47,4
2016-03-05,738258.66,30875.97,296428.51,180591.36,5,3,2016,0,230362.82000000007,1,10,28.01,287.83,85.36,4691581.8,1521.63,12.47,3
2016-03-12,793990.89,31755.82,278186.05,233709.39,12,3,2016,0,250339.63,2,11,28.01,287.83,85.36,4691581.8,1521.63,12.47,2
2016-03-19,736409.16,35270.48,252956.08,211316.09,19,3,2016,0,236866.51,3,12,28.01,287.83,85.36,4691581.8,1521.63,12.47,1
2016-03-26,804216.28,42372.37,283343.52,217757.48,26,3,2016,1,260742.91000000003,4,13,28.01,287.83,85.36,4691581.8,1521.63,12.47,0
2016-04-02,736594.05,33537.04,285022.17,185016.77,2,4,2016,0,233018.07000000007,1,14,27.69,289.58,81.57,4611945.2,1508.42,12.92,3
2016-04-09,880942.23,35879.37,312845.58,254038.34,9,4,2016,0,278178.93999999994,2,15,27.69,289.58,81.57,4611945.2,1508.42,12.92,2
2016-04-16,711757.61,26308.62,228442.92,233841.5,16,4,2016,0,223164.56999999995,3,16,27.69,289.58,81.57,4611945.2,1508.42,12.92,1
2016-04-23,987768.13,43740.65,302394.24,326018.44,23,4,2016,1,315614.79999999993,4,17,27.69,289.58,81.57,4611945.2,1508.42,12.92,0
2016-04-30,730684.36,36261.48,290216.2,172076.97,30,4,2016,0,232129.70999999996,5,18,27.69,289.58,81.57,4611945.2,1508.42,12.92,1
2016-05-07,817147.05,33911.7,300686.2,224777.4,7,5,2016,1,257771.75,1,19,26.68,291.84,82.32,4611945.2,1508.42,12.92,0
2016-05-14,850700.7,33836.67,270984.84,277074.58,14,5,2016,0,268804.60999999987,2,20,26.68,291.84,82.32,4611945.2,1508.42,12.92,2
2016-05-21,755337.59,34061.9,228705.41,250795.63,21,5,2016,0,241774.64999999997,3,21,26.68,291.84,82.32,4611945.2,1508.42,12.92,1
2016-05-28,808583.16,39517.37,267405.06,240608.05,28,5,2016,1,261052.68000000005,4,22,26.68,291.84,82.32,4611945.2,1508.42,12.92,0
2016-06-04,689710.26,27500.84,268642.63,178268.42,4,6,2016,0,215298.37,1,23,26.0,292.86,81.21,4611945.2,1508.42,12.92,14
2016-06-11,817337.66,27218.92,264523.9,272089.12,11,6,2016,0,253505.7200000001,2,24,26.0,292.86,81.21,4611945.2,1508.42,12.92,13
2016-06-18,820770.84,35270.48,249313.47,274994.08,18,6,2016,0,261192.80999999994,3,25,26.0,292.86,81.21,4611945.2,1508.42,12.92,12
2016-06-25,1088959.4,49422.51,288107.2,405329.63,25,6,2016,0,346100.0599999998,4,26,26.0,292.86,81.21,4611945.2,1508.42,12.92,11
2016-07-02,446746.11,17607.75,198857.01,94811.28,2,7,2016,0,135470.06999999995,1,27,25.8,294.39,82.89,4509381.62,1500.53,13.71,10
2016-07-09,634696.04,26517.88,240075.3,168345.03,9,7,2016,0,199757.83000000007,2,28,25.8,294.39,82.89,4509381.62,1500.53,13.71,9
2016-07-16,713039.28,28280.47,233973.63,225430.68,16,7,2016,0,225354.50000000006,3,29,25.8,294.39,82.89,4509381.62,1500.53,13.71,8
2016-07-23,882891.31,30511.51,265209.06,312701.71,23,7,2016,0,274469.03,4,30,25.8,294.39,82.89,4509381.62,1500.53,13.71,7
2016-07-30,523111.78,21501.71,211957.68,126831.3,30,7,2016,0,162821.09000000003,5,31,25.8,294.39,82.89,4509381.62,1500.53,13.71,6
2016-08-06,668765.94,30148.32,252685.73,173891.32,6,8,2016,0,212040.56999999995,1,32,26.22,295.68,82.5,4509381.62,1500.53,13.71,5
2016-08-13,673263.79,30802.98,237549.47,189721.9,13,8,2016,0,215189.44000000006,2,33,26.22,295.68,82.5,4509381.62,1500.53,13.71,4
2016-08-20,859199.0,31022.11,276380.57,283064.03,20,8,2016,0,268732.29000000004,3,34,26.22,295.68,82.5,4509381.62,1500.53,13.71,3
2016-08-27,797016.64,36491.31,262744.91,242208.37,27,8,2016,0,255572.05000000005,4,35,26.22,295.68,82.5,4509381.62,1500.53,13.71,2
2016-09-03,554661.08,35955.7,208244.43,128380.32,3,9,2016,0,182080.62999999995,1,36,26.63,295.92,78.98,4509381.62,1500.53,13.71,1
2016-09-10,830712.55,39438.9,306104.7,219700.91,10,9,2016,1,265468.04000000004,2,37,26.63,295.92,78.98,4509381.62,1500.53,13.71,0
2016-09-17,883671.3,28851.46,295296.14,286002.71,17,9,2016,0,273520.99,3,38,26.63,295.92,78.98,4509381.62,1500.53,13.71,4
2016-09-24,1047726.56,34137.07,328496.87,361209.93,24,9,2016,0,323882.69000000006,4,39,26.63,295.92,78.98,4509381.62,1500.53,13.71,3
2016-10-01,593676.19,18606.95,236488.31,158000.85,1,10,2016,0,180580.07999999996,1,40,27.64,296.69,83.05,4579125.31,1525.57,14.0,2
2016-10-08,757760.12,28636.94,262471.53,228836.69,8,10,2016,0,237814.95999999996,2,41,27.64,296.69,83.05,4579125.31,1525.57,14.0,1
2016-10-15,1009396.03,35879.37,337729.39,320788.19,15,10,2016,1,314999.0800000001,3,42,27.64,296.69,83.05,4579125.31,1525.57,14.0,0
2016-10-22,1066223.64,52040.35,316159.94,353729.47,22,10,2016,0,344293.8799999999,4,43,27.64,296.69,83.05,4579125.31,1525.57,14.0,2
2016-10-29,704994.31,52893.2,231862.13,182308.62,29,10,2016,0,237930.36000000004,5,44,27.64,296.69,83.05,4579125.31,1525.57,14.0,1
2016-11-05,884451.49,60392.09,308394.64,221259.29,5,11,2016,1,294405.47,1,45,28.02,297.22,88.04,4579125.31,1525.57,14.0,0
2016-11-12,713771.97,30220.86,235163.81,221389.3,12,11,2016,0,226998.0,2,46,28.02,297.22,88.04,4579125.31,1525.57,14.0,1
2016-11-19,1029528.58,41493.83,308251.37,354326.22,19,11,2016,1,325457.16000000003,3,47,28.02,297.22,88.04,4579125.31,1525.57,14.0,0
2016-11-26,1001497.08,43256.28,290497.75,349411.88,26,11,2016,0,318331.1699999999,4,48,28.02,297.22,88.04,4579125.31,1525.57,14.0,5
2016-12-03,804216.28,41892.5,323254.94,183169.03,3,12,2016,0,255899.81000000006,1,49,28.02,298.11,108.41,4579125.31,1525.57,14.0,4
2016-12-10,1353555.57,67255.43,445309.44,403158.28,10,12,2016,0,437832.42000000004,2,50,28.02,298.11,108.41,4579125.31,1525.57,14.0,3
2016-12-17,1455854.27,77084.14,415455.5,489647.7,17,12,2016,0,473666.92999999993,3,51,28.02,298.11,108.41,4579125.31,1525.57,14.0,2
2016-12-24,1748918.45,61997.99,467648.21,678853.37,24,12,2016,0,540418.8799999999,4,52,28.02,298.11,108.41,4579125.31,1525.57,14.0,1
2017-01-01,248371.61,12081.32,141195.9,27500.84,1,1,2017,2,67593.54999999999,1,1,28.02,298.11,108.41,4579125.31,1525.57,14.0,0
2017-01-07,484406.27,19176.04,243811.8,81123.71,7,1,2017,0,140294.72000000003,1,2,27.9,299.24,84.24,4640572.83,1576.33,15.82,8
2017-01-14,561821.0,25269.62,242475.4,120255.54,14,1,2017,0,173820.44,2,3,27.9,299.24,84.24,4640572.83,1576.33,15.82,7
2017-01-21,610232.69,28708.4,247162.2,142222.75,21,1,2017,0,192139.3399999999,3,4,27.9,299.24,84.24,4640572.83,1576.33,15.82,6
2017-01-28,597672.36,42693.17,209522.69,145776.29,28,1,2017,0,199680.20999999996,4,5,27.9,299.24,84.24,4640572.83,1576.33,15.82,5
2017-02-04,523613.63,28779.9,223472.5,106157.23,4,2,2017,0,165204.0,1,6,27.79,300.23,75.31,4640572.83,1576.33,15.82,4
2017-02-11,642853.57,35498.45,237682.21,161427.54,11,2,2017,0,208245.37,2,7,27.79,300.23,75.31,4640572.83,1576.33,15.82,3
2017-02-18,906771.33,46679.76,273332.99,292047.65,18,2,2017,0,294710.92999999993,3,8,27.79,300.23,75.31,4640572.83,1576.33,15.82,2
2017-02-25,381786.62,19622.12,151677.92,88883.03,25,2,2017,0,121603.54999999999,4,9,27.79,300.23,75.31,4640572.83,1576.33,15.82,1
2017-03-04,659438.77,31095.26,282226.05,140968.0,4,3,2017,2,205149.46000000002,1,10,27.38,300.98,84.13,4640572.83,1576.33,15.82,0
2017-03-11,718172.7,31314.99,295437.62,167505.66,11,3,2017,0,223914.42999999993,2,11,27.38,300.98,84.13,4640572.83,1576.33,15.82,5
2017-03-18,613209.46,28708.4,213628.46,174254.86,18,3,2017,0,196617.74,3,12,27.38,300.98,84.13,4640572.83,1576.33,15.82,4
2017-03-25,750313.44,37956.72,227787.09,241407.82,25,3,2017,0,243161.80999999994,4,13,27.38,300.98,84.13,4640572.83,1576.33,15.82,3
2017-04-01,367679.65,17731.77,166787.18,70580.93,1,4,2017,0,112579.77000000005,1,14,27.18,301.4,80.66,4691188.7,1572.63,15.35,2
2017-04-08,549224.0,35498.45,215432.06,119386.55,8,4,2017,0,178906.94,2,15,27.18,301.4,80.66,4691188.7,1572.63,15.35,1
2017-04-15,571580.92,29353.81,199235.1,158118.66,15,4,2017,1,184873.35000000003,3,16,27.18,301.4,80.66,4691188.7,1572.63,15.35,0
2017-04-22,898333.31,43659.81,256749.91,308537.93,22,4,2017,1,289385.66000000015,4,17,27.18,301.4,80.66,4691188.7,1572.63,15.35,0
2017-04-29,464737.42,25545.48,190343.57,100850.17,29,4,2017,0,147998.19999999995,5,18,27.18,301.4,80.66,4691188.7,1572.63,15.35,1
2017-05-06,710842.55,40620.71,286984.25,155415.72,6,5,2017,1,227821.87,1,19,26.79,302.34,84.74,4691188.7,1572.63,15.35,0
2017-05-13,667687.77,29281.89,228836.69,196718.43,13,5,2017,0,212850.76,2,20,26.79,302.34,84.74,4691188.7,1572.63,15.35,5
2017-05-20,695157.58,28779.9,227393.86,218275.23,20,5,2017,0,220708.58999999997,3,21,26.79,302.34,84.74,4691188.7,1572.63,15.35,4
2017-05-27,632573.02,45775.77,185633.88,187736.57,27,5,2017,0,213426.80000000005,4,22,26.79,302.34,84.74,4691188.7,1572.63,15.35,3
2017-06-03,527633.5,33686.76,205567.56,116575.15,3,6,2017,0,171804.03000000003,1,23,26.18,301.64,83.25,4691188.7,1572.63,15.35,2
2017-06-10,715238.0,50599.86,257293.23,169305.82,10,6,2017,0,238039.08999999997,2,24,26.18,301.64,83.25,4691188.7,1572.63,15.35,1
2017-06-17,811434.86,46515.02,256342.63,241808.0,17,6,2017,1,266769.20999999996,3,25,26.18,301.64,83.25,4691188.7,1572.63,15.35,0
2017-06-24,749941.67,29642.0,201634.6,283762.91,24,6,2017,0,234902.16000000003,4,26,26.18,301.64,83.25,4691188.7,1572.63,15.35,11
2017-07-01,498859.83,35042.93,202267.44,99098.97,1,7,2017,0,162450.49000000005,1,27,25.06,302.37,84.58,4662402.44,1556.46,14.45,10
2017-07-08,605164.46,35726.86,204931.71,165352.93,8,7,2017,0,199152.95999999996,2,28,25.06,302.37,84.58,4662402.44,1556.46,14.45,9
2017-07-15,659080.8,32420.44,211957.68,201508.1,15,7,2017,0,213194.58000000007,3,29,25.06,302.37,84.58,4662402.44,1556.46,14.45,8
2017-07-22,801940.66,42532.68,228705.41,269606.35,22,7,2017,0,261096.2200000001,4,30,25.06,302.37,84.58,4662402.44,1556.46,14.45,7
2017-07-29,558237.68,34589.13,206586.12,134294.01,29,7,2017,0,182768.42000000004,5,31,25.06,302.37,84.58,4662402.44,1556.46,14.45,6
2017-08-05,552790.31,37183.34,218016.31,117114.28,5,8,2017,0,180476.38000000006,1,32,25.73,302.94,85.12,4662402.44,1556.46,14.45,5
2017-08-12,599934.53,32272.4,205313.15,166906.86,12,8,2017,0,195442.12000000005,2,33,25.73,302.94,85.12,4662402.44,1556.46,14.45,4
2017-08-19,609183.07,27289.32,198227.31,188852.57,19,8,2017,0,194813.86999999994,3,34,25.73,302.94,85.12,4662402.44,1556.46,14.45,3
2017-08-26,711940.67,38111.96,225953.71,215561.06,26,8,2017,0,232313.94000000006,4,35,25.73,302.94,85.12,4662402.44,1556.46,14.45,2
2017-09-02,457483.78,28422.9,188108.36,93899.75,2,9,2017,0,147052.77000000002,1,36,26.28,303.43,83.72,4662402.44,1556.46,14.45,1
2017-09-09,758319.49,42693.17,264249.98,203661.74,9,9,2017,1,247714.60000000003,2,37,26.28,303.43,83.72,4662402.44,1556.46,14.45,0
2017-09-16,754778.87,37337.65,230019.17,243276.98,16,9,2017,0,244145.06999999995,3,38,26.28,303.43,83.72,4662402.44,1556.46,14.45,4
2017-09-23,834929.19,46186.04,239010.84,276658.11,23,9,2017,0,273074.19999999995,4,39,26.28,303.43,83.72,4662402.44,1556.46,14.45,3
2017-09-30,578114.81,34212.29,212856.85,142222.75,30,9,2017,0,188822.92000000004,5,40,26.28,303.43,83.72,4662402.44,1556.46,14.45,2
2017-10-07,601850.63,32050.71,203915.54,170147.82,7,10,2017,0,195736.56,1,41,27.17,304.7,83.95,4948093.6,1588.15,13.42,1
2017-10-14,858038.69,43579.02,294165.03,242608.94,14,10,2017,1,277685.69999999995,2,42,27.17,304.7,83.95,4948093.6,1588.15,13.42,0
2017-10-21,1015484.5,58886.79,290497.75,332151.59,21,10,2017,0,333948.37,3,43,27.17,304.7,83.95,4948093.6,1588.15,13.42,2
2017-10-28,689166.22,44714.13,205185.98,209522.69,28,10,2017,0,229743.41999999993,4,44,27.17,304.7,83.95,4948093.6,1588.15,13.42,1
2017-11-04,779100.8,43902.46,280831.02,200623.26,4,11,2017,1,253744.06000000006,1,45,27.64,305.55,92.91,4948093.6,1588.15,13.42,0
2017-11-11,751243.1,42612.91,245284.32,216723.06,11,11,2017,0,246622.81,2,46,27.64,305.55,92.91,4948093.6,1588.15,13.42,1
2017-11-18,964476.8,68174.46,275409.81,296570.15,18,11,2017,1,324322.38,3,47,27.64,305.55,92.91,4948093.6,1588.15,13.42,0
2017-11-25,947115.57,55042.99,252010.22,329811.21,25,11,2017,0,310251.1499999999,4,48,27.64,305.55,92.91,4948093.6,1588.15,13.42,5
2017-12-02,983338.31,60747.88,284882.17,311838.9,2,12,2017,0,325869.3600000001,1,49,28.0,306.9,111.02,4948093.6,1588.15,13.42,4
2017-12-09,1342520.56,81317.57,393429.62,423765.9,9,12,2017,0,444007.47,2,50,28.0,306.9,111.02,4948093.6,1588.15,13.42,3
2017-12-16,1222690.5,88883.03,405484.86,317170.68,16,12,2017,0,411151.92999999993,3,51,28.0,306.9,111.02,4948093.6,1588.15,13.42,2
2017-12-23,1211766.32,86109.19,393737.39,324854.02,23,12,2017,0,407065.72,4,52,28.0,306.9,111.02,4948093.6,1588.15,13.42,1
2018-01-01,263291.91,20978.19,105528.74,50010.17,1,1,2018,2,86774.80999999997,1,1,28.0,306.9,111.02,4948093.6,1588.15,13.42,0
2018-01-06,848001.89,56519.08,307678.5,203408.02,6,1,2018,0,280396.29000000004,1,2,27.65,307.79,86.84,4830741.06,1601.76,15.44,6
2018-01-13,683370.94,31535.18,233841.5,198857.01,13,1,2018,0,219137.24999999994,2,3,27.65,307.79,86.84,4830741.06,1601.76,15.44,5
2018-01-20,778724.91,38189.64,266855.56,222430.18,20,1,2018,0,251249.53000000003,3,4,27.65,307.79,86.84,4830741.06,1601.76,15.44,4
2018-01-27,728656.13,43821.54,245418.32,199235.1,27,1,2018,0,240181.17000000004,4,5,27.65,307.79,86.84,4830741.06,1601.76,15.44,3
2018-02-03,733268.13,44714.13,272227.24,176562.43,3,2,2018,0,239764.33000000002,1,6,27.35,308.77,76.76,4830741.06,1601.76,15.44,2
2018-02-10,453949.75,23565.54,160953.61,122436.05,10,2,2018,0,146994.55,2,7,27.35,308.77,76.76,4830741.06,1601.76,15.44,1
2018-02-17,744186.17,37183.34,239942.17,226084.52,17,2,2018,2,240976.14,3,8,27.35,308.77,76.76,4830741.06,1601.76,15.44,0
2018-02-24,674164.42,34815.81,213499.8,206840.99,24,2,2018,0,219007.82000000007,4,9,27.35,308.77,76.76,4830741.06,1601.76,15.44,5
2018-03-03,533007.32,36184.96,221909.56,103025.77,3,3,2018,0,171887.02999999997,1,10,27.88,309.05,87.19,4830741.06,1601.76,15.44,4
2018-03-10,629392.39,31682.23,241141.15,155298.51,10,3,2018,0,201270.5,2,11,27.88,309.05,87.19,4830741.06,1601.76,15.44,3
2018-03-17,647121.77,34061.9,220220.01,182554.33,17,3,2018,0,210285.53000000003,3,12,27.88,309.05,87.19,4830741.06,1601.76,15.44,2
2018-03-24,694067.11,37183.34,215819.12,214529.71,24,3,2018,0,226534.94,4,13,27.88,309.05,87.19,4830741.06,1601.76,15.44,1
2018-03-31,476737.96,29931.02,192336.9,100437.32,31,3,2018,1,154032.72000000003,5,14,27.88,309.05,87.19,4830741.06,1601.76,15.44,0
2018-04-07,590034.38,31388.34,233181.16,136771.52,7,4,2018,0,188693.36,1,15,26.88,309.73,81.01,4830713.16,1596.22,14.43,2
2018-04-14,625335.09,29425.78,221519.33,174012.48,14,4,2018,0,200377.5,2,16,26.88,309.73,81.01,4830713.16,1596.22,14.43,1
2018-04-21,613034.24,33761.69,184893.42,193710.84,21,4,2018,1,200668.28999999998,3,17,26.88,309.73,81.01,4830713.16,1596.22,14.43,0
2018-04-28,428806.77,25476.43,169426.03,95420.4,28,4,2018,0,138483.91000000003,4,18,26.88,309.73,81.01,4830713.16,1596.22,14.43,1
2018-05-05,584324.83,29858.69,230019.17,138241.73,5,5,2018,1,186205.23999999993,1,19,26.52,310.97,86.02,4830713.16,1596.22,14.43,0
2018-05-12,546850.21,29786.41,193210.89,145891.35,12,5,2018,0,177961.55999999994,2,20,26.52,310.97,86.02,4830713.16,1596.22,14.43,3
2018-05-19,436083.51,23430.72,174133.66,99304.53,19,5,2018,0,139214.59999999998,3,21,26.52,310.97,86.02,4830713.16,1596.22,14.43,2
2018-05-26,326018.44,19494.36,122545.38,77848.91,26,5,2018,0,106129.79000000001,4,22,26.52,310.97,86.02,4830713.16,1596.22,14.43,1
2018-06-02,658901.83,34212.29,225038.64,185757.38,2,6,2018,1,213893.5199999999,1,23,26.11,314.89,85.31,4830713.16,1596.22,14.43,0
2018-06-09,758133.02,34740.2,250525.95,229624.81,9,6,2018,0,243242.06,2,24,26.11,314.89,85.31,4830713.16,1596.22,14.43,13
