Data;Total;SM;ROUTE;INDIRETOS;Week_445;Month_445;Day_gregoriano;Month_gregoriano;Year;Data;holidays;weekend;work_day
(17/jun) S 04/06/17;811.434,86;46.515,02;256.342,63;241.808,00;4;6;17;6;2017;17/06/2017;1;2;4
(24/jun) S 05/06/17;749.941,67;29.642,00;201.634,60;283.762,91;5;6;24;6;2017;24/06/2017;0;2;5
(01/jul) S 01/07/17;498.859,83;35.042,93;202.267,44;99.098,97;1;7;1;7;2017;01/07/2017;0;2;5
(08/jul) S 02/07/17;605.164,46;35.726,86;204.931,71;165.352,93;2;7;8;7;2017;08/07/2017;0;2;5
(15/jul) S 03/07/17;659.080,80;32.420,44;211.957,68;201.508,10;3;7;15;7;2017;15/07/2017;0;2;5
(22/jul) S 04/07/17;801.940,66;42.532,68;228.705,41;269.606,35;4;7;22;7;2017;22/07/2017;0;2;5
(29/jul) S 01/08/17;558.237,68;34.589,13;206.586,12;134.294,01;1;8;29;7;2017;29/07/2017;0;2;5
(05/ago) S 02/08/17;552.790,31;37.183,34;218.016,31;117.114,28;2;8;5;8;2017;05/08/2017;0;2;5
(12/ago) S 03/08/17;599.934,53;32.272,40;205.313,15;166.906,86;3;8;12;8;2017;12/08/2017;0;2;5
(19/ago) S 04/08/17;609.183,07;27.289,32;198.227,31;188.852,57;4;8;19;8;2017;19/08/2017;0;2;5
(26/ago) S 01/09/17;711.940,67;38.111,96;225.953,71;215.561,06;1;9;26;8;2017;26/08/2017;0;2;5
(02/set) S 02/09/17;457.483,78;28.422,90;188.108,36;93.899,75;2;9;2;9;2017;02/09/2017;0;2;5
(09/set) S 03/09/17;758.319,49;42.693,17;264.249,98;203.661,74;3;9;9;9;2017;09/09/2017;1;2;4
(16/set) S 04/09/17;754.778,87;37.337,65;230.019,17;243.276,98;4;9;16;9;2017;16/09/2017;0;2;5
(23/set) S 05/09/17;834.929,19;46.186,04;239.010,84;276.658,11;5;9;23;9;2017;23/09/2017;0;2;5
(30/set) S 01/10/17;578.114,81;34.212,29;212.856,85;142.222,75;1;10;30;9;2017;30/09/2017;0;2;5
(07/out) S 02/10/17;601.850,63;32.050,71;203.915,54;170.147,82;2;10;7;10;2017;07/10/2017;0;2;5
(14/out) S 03/10/17;858.038,69;43.579,02;294.165,03;242.608,94;3;10;14;10;2017;14/10/2017;1;2;4
(21/out) S 04/10/17;1.015.484,50;58.886,79;290.497,75;332.151,59;4;10;21;10;2017;21/10/2017;0;2;5
(28/out) S 01/11/17;689.166,22;44.714,13;205.185,98;209.522,69;1;11;28;10;2017;28/10/2017;0;2;5
(04/nov) S 02/11/17;779.100,80;43.902,46;280.831,02;200.623,26;2;11;4;11;2017;04/11/2017;1;2;4
(11/nov) S 03/11/17;751.243,10;42.612,91;245.284,32;216.723,06;3;11;11;11;2017;11/11/2017;0;2;5
(18/nov) S 04/11/17;964.476,80;68.174,46;275.409,81;296.570,15;4;11;18;11;2017;18/11/2017;1;2;4
(25/nov) S 01/12/17;947.115,57;55.042,99;252.010,22;329.811,21;1;12;25;11;2017;25/11/2017;0;2;5
(02/dez) S 02/12/17;983.338,31;60.747,88;284.882,17;311.838,90;2;12;2;12;2017;02/12/2017;0;2;5
(09/dez) S 03/12/17;1.342.520,56;81.317,57;393.429,62;423.765,90;3;12;9;12;2017;09/12/2017;0;2;5
(16/dez) S 04/12/17;1.222.690,50;88.883,03;405.484,86;317.170,68;4;12;16;12;2017;16/12/2017;0;2;5
(23/dez) S 05/12/17;1.211.766,32;86.109,19;393.737,39;324.854,02;5;12;23;12;2017;23/12/2017;0;2;5
(01/jan) S 01/01/18;263.291,91;20.978,19;105.528,74;50.010,17;1;1;1;1;2018;01/01/2018;2;3;4
(06/jan) S 02/01/18;848.001,89;56.519,08;307.678,50;203.408,02;2;1;6;1;2018;06/01/2018;0;1;4
(13/jan) S 03/01/18;683.370,94;31.535,18;233.841,50;198.857,01;3;1;13;1;2018;13/01/2018;0;2;5
(20/jan) S 04/01/18;778.724,91;38.189,64;266.855,56;222.430,18;4;1;20;1;2018;20/01/2018;0;2;5
(27/jan) S 01/02/18;728.656,13;43.821,54;245.418,32;199.235,10;1;2;27;1;2018;27/01/2018;0;2;5
(03/fev) S 02/02/18;733.268,13;44.714,13;272.227,24;176.562,43;2;2;3;2;2018;03/02/2018;0;2;5
(10/fev) S 03/02/18;453.949,75;23.565,54;160.953,61;122.436,05;3;2;10;2;2018;10/02/2018;0;2;5
(17/fev) S 04/02/18;744.186,17;37.183,34;239.942,17;226.084,52;4;2;17;2;2018;17/02/2018;2;2;3
(24/fev) S 01/03/18;674.164,42;34.815,81;213.499,80;206.840,99;1;3;24;2;2018;24/02/2018;0;2;5
(03/mar) S 02/03/18;533.007,32;36.184,96;221.909,56;103.025,77;2;3;3;3;2018;03/03/2018;0;2;5
(10/mar) S 03/03/18;629.392,39;31.682,23;241.141,15;155.298,51;3;3;10;3;2018;10/03/2018;0;2;5
(17/mar) S 04/03/18;647.121,77;34.061,90;220.220,01;182.554,33;4;3;17;3;2018;17/03/2018;0;2;5
(24/mar) S 05/03/18;694.067,11;37.183,34;215.819,12;214.529,71;5;3;24;3;2018;24/03/2018;0;2;5
(31/mar) S 01/04/18;476.737,96;29.931,02;192.336,90;100.437,32;1;4;31;3;2018;31/03/2018;1;2;4
(07/abr) S 02/04/18;590.034,38;31.388,34;233.181,16;136.771,52;2;4;7;4;2018;07/04/2018;0;2;5
(14/abr) S 03/04/18;625.335,09;29.425,78;221.519,33;174.012,48;3;4;14;4;2018;14/04/2018;0;2;5
(21/abr) S 04/04/18;613.034,24;33.761,69;184.893,42;193.710,84;4;4;21;4;2018;21/04/2018;1;2;5
(28/abr) S 01/05/18;428.806,77;25.476,43;169.426,03;95.420,40;1;5;28;4;2018;28/04/2018;0;2;5
(05/mai) S 02/05/18;584.324,83;29.858,69;230.019,17;138.241,73;2;5;5;5;2018;05/05/2018;1;2;4
(12/mai) S 03/05/18;546.850,21;29.786,41;193.210,89;145.891,35;3;5;12;5;2018;12/05/2018;0;2;5
(19/mai) S 04/05/18;436.083,51;23.430,72;174.133,66;99.304,53;4;5;19;5;2018;19/05/2018;0;2;5
(26/mai) S 01/06/18;326.018,44;19.494,36;122.545,38;77.848,91;1;6;26;5;2018;26/05/2018;0;2;5
(02/jun) S 02/06/18;658.901,83;34.212,29;225.038,64;185.757,38;2;6;2;6;2018;02/06/2018;1;2;4
(09/jun) S 03/06/18;758.133,02;34.740,20;250.525,95;229.624,81;3;6;9;6;2018;09/06/2018;0;2;5
(16/jun) S 04/06/18;670.204,29;31.903,17;220.479,69;202.140,83;4;6;16;6;2018;16/06/2018;0;2;5
(23/jun) S 05/06/18;655.146,88;33.537,04;207.989,05;200.875,95;5;6;23;6;2018;23/06/2018;0;2;5
(30/jun) S 01/07/18;596.802,96;32.494,54;221.519,33;149.703,10;1;7;30;6;2018;30/06/2018;0;2;5
(07/jul) S 02/07/18;681.743,61;32.642,88;228.836,69;200.749,60;2;7;7;7;2018;07/07/2018;0;2;5
(14/jul) S 03/07/18;651.219,87;34.891,47;212.471,36;191.464,07;3;7;14;7;2018;14/07/2018;0;2;5
(21/jul) S 04/07/18;627.980,28;26.238,97;204.550,47;197.723,98;4;7;21;7;2018;21/07/2018;0;2;5
(28/jul) S 01/08/18;545.664,45;33.312,84;190.841,33;141.880,22;1;8;28;7;2018;28/07/2018;0;2;5
(04/ago) S 02/08/18;568.150,78;27.218,92;219.052,54;141.309,88;2;8;4;8;2018;04/08/2018;0;2;5
(11/ago) S 03/08/18;597.672,36;26.867,73;215.174,13;165.114,25;3;8;11;8;2018;11/08/2018;0;2;5
(18/ago) S 04/08/18;623.397,36;30.730,04;208.627,67;182.677,22;4;8;18;8;2018;18/08/2018;0;2;5
(25/ago) S 01/09/18;724.052,66;36.184,96;216.335,52;237.151,37;1;9;25;8;2018;25/08/2018;0;2;5
(01/set) S 02/09/18;394.815,16;16.381,78;152.260,20;102.402,78;2;9;1;9;2018;01/09/2018;0;2;5
(08/set) S 03/09/18;722.213,66;34.815,81;253.091,29;202.140,83;3;9;8;9;2018;08/09/2018;1;2;4
(15/set) S 04/09/18;703.899,34;34.664,64;225.169,30;216.464,68;4;9;15;9;2018;15/09/2018;0;2;5
(22/set) S 05/09/18;784.557,19;40.937,58;231.730,34;256.885,71;5;9;22;9;2018;22/09/2018;0;2;5
(29/set) S 01/10/18;526.125,00;22.294,03;222.169,83;118.844,38;1;10;29;9;2018;29/09/2018;0;2;5
(06/out) S 02/10/18;574.157,49;22.960,67;206.840,99;163.565,24;2;10;6;10;2018;06/10/2018;0;2;5
(13/out) S 03/10/18;831.287,18;39.360,48;277.630,15;246.893,67;3;10;13;10;2018;13/10/2018;1;2;4
(20/out) S 04/10/18;802.509,39;34.967,18;256.342,63;254.986,43;4;10;20;10;2018;20/10/2018;0;2;5
(27/out) S 01/11/18;559.601,96;27.783,60;188.108,36;162.851,76;1;11;27;10;2018;27/10/2018;0;2;5
(03/nov) S 02/11/18;653.182,51;41.096,29;250.525,95;148.429,32;2;11;3;11;2018;03/11/2018;1;2;4
(10/nov) S 03/11/18;733.452,79;43.498,27;257.021,53;192.212,14;3;11;10;11;2018;10/11/2018;0;2;5
(17/nov) S 04/11/18;998.261,75;55.736,19;306.819,77;308.394,64;4;11;17;11;2018;17/11/2018;1;2;4
(24/nov) S 01/12/18;1.008.382,33;58.446,18;277.213,44;341.856,70;1;12;24;11;2018;24/11/2018;0;2;5
(01/dez) S 02/12/18;738.073,65;40.620,71;250.256,36;206.076,66;2;12;1;12;2018;01/12/2018;0;2;5
(08/dez) S 03/12/18;1.033.609,87;60.303,23;312.414,03;320.353,45;3;12;8;12;2018;08/12/2018;0;2;5
(15/dez) S 04/12/18;1.120.606,06;79.577,71;403.468,26;264.386,93;4;12;15;12;2018;15/12/2018;0;2;5
(22/dez) S 05/12/18;1.477.798,27;82.580,97;528.472,11;385.605,24;5;12;22;12;2018;22/12/2018;0;2;5
(01/jan) S 01/01/19;174.739,93;8.943,55;77.753,20;33.836,67;1;1;1;1;2019;01/01/2019;2;3;5
(05/jan) S 02/01/19;718.906,93;30.584,30;277.074,58;185.140,14;2;1;5;1;2019;05/01/2019;0;1;3
(12/jan) S 03/01/19;701.528,62;33.611,88;254.173,72;188.976,69;3;1;12;1;2019;12/01/2019;0;2;5
(19/jan) S 04/01/19;692.795,53;30.511,51;259.878,60;182.923,08;4;1;19;1;2019;19/01/2019;0;2;5
(26/jan) S 01/02/19;702.987,25;36.491,31;245.552,33;193.210,89;1;2;26;1;2019;26/01/2019;0;2;5
(02/fev) S 02/02/19;493.918,50;18.859,26;209.011,11;114.747,57;2;2;2;2;2019;02/02/2019;0;2;5
(09/fev) S 03/02/19;599.586,34;26.587,74;232.917,18;151.096,31;3;2;9;2;2019;09/02/2019;0;2;5
(16/fev) S 04/02/19;649.971,82;37.879,18;224.908,01;174.012,48;4;2;16;2;2019;16/02/2019;0;2;5
(23/fev) S 01/03/19;799.666,93;37.879,18;291.765,67;214.272,09;1;3;23;2;2019;23/02/2019;0;2;5
(02/mar) S 02/03/19;326.746,82;17.545,84;139.262,25;66.980,44;2;3;2;3;2019;02/03/2019;0;2;5
(09/mar) S 03/03/19;678.853,37;30.075,84;281.528,28;155.650,22;3;3;9;3;2019;09/03/2019;2;2;3
(16/mar) S 04/03/19;668.406,50;33.387,53;241.141,15;178.634,61;4;3;16;3;2019;16/03/2019;0;2;5
(23/mar) S 05/03/19;766.724,51;28.779,90;254.038,34;243.143,33;5;3;23;3;2019;23/03/2019;0;2;5
(30/mar) S 01/04/19;468.457,71;22.760,07;201.255,17;98.483,05;1;4;30;3;2019;30/03/2019;0;2;5
